Category,Model,seed,wape,r2
Cake Cases & Baking Accessories,Random Forest,13,32.91316889427217,0.10773040919050969
Cake Cases & Baking Accessories,XGBoost,13,33.776329168779846,0.04950246334879804
Cake Cases & Baking Accessories,7-Day Rolling Sum Baseline,14,48.99354282046516,-1.1997480531516764
Cake Cases & Baking Accessories,Linear Regression,14,33.08422176691029,0.1937468923445932
Cake Cases & Baking Accessories,Random Forest,14,25.481977068419443,0.4906989534961209
Cake Cases & Baking Accessories,XGBoost,14,31.225259513548988,0.2333504631398995
Cake Cases & Baking Accessories,7-Day Rolling Sum Baseline,15,57.62255360745409,-1.0305376912347546
Cake Cases & Baking Accessories,Linear Regression,15,38.78379180532013,0.033620522390683694
Cake Cases & Baking Accessories,Random Forest,15,33.02357133448417,0.23008607466137398
Cake Cases & Baking Accessories,XGBoost,15,28.634359224957517,0.27519583202247455
Cake Cases & Baking Accessories,7-Day Rolling Sum Baseline,16,53.52953794404842,-0.6834938352700604
Cake Cases & Baking Accessories,Linear Regression,16,36.57503298619567,0.1175207740361045
Cake Cases & Baking Accessories,Random Forest,16,35.9091027789263,0.2337007668672917
Cake Cases & Baking Accessories,XGBoost,16,33.1402173736301,0.20324347990967906
Cake Cases & Baking Accessories,7-Day Rolling Sum Baseline,17,42.49740090492437,-1.2862599254158238
Cake Cases & Baking Accessories,Linear Regression,17,26.125701202354932,-0.006360853915346354
Cake Cases & Baking Accessories,Random Forest,17,27.262202934414947,-0.44314779179001906
Cake Cases & Baking Accessories,XGBoost,17,28.582339956888426,-0.43480902035132574
Cake Cases & Baking Accessories,7-Day Rolling Sum Baseline,18,39.77746717181005,-0.26491936262433136
Cake Cases & Baking Accessories,Linear Regression,18,33.21188899046296,0.08254581170069708
Cake Cases & Baking Accessories,Random Forest,18,29.71394416449038,0.11093770279817872
Cake Cases & Baking Accessories,XGBoost,18,32.29423997488747,0.0049688883504849235
Cake Cases & Baking Accessories,7-Day Rolling Sum Baseline,19,53.52953794404842,-0.6834938352700604
Cake Cases & Baking Accessories,Linear Regression,19,36.4464046562372,0.11778680353576232
Cake Cases & Baking Accessories,Random Forest,19,37.5538920201075,0.17629365566163957
Cake Cases & Baking Accessories,XGBoost,19,36.8156799477499,0.00134445730041155
Cake Cases & Baking Accessories,7-Day Rolling Sum Baseline,20,40.71999225814776,-0.5338074307345135
Cake Cases & Baking Accessories,Linear Regression,20,25.125199963539828,0.1996195278334384
Cake Cases & Baking Accessories,Random Forest,20,27.65491231277083,0.2143603767966764
Cake Cases & Baking Accessories,XGBoost,20,30.38238902645088,-0.02164229919497629
Cake Cases & Baking Accessories,7-Day Rolling Sum Baseline,21,43.366333101443075,-2.037337933341967
Cake Cases & Baking Accessories,Linear Regression,21,26.97183178576241,-0.3868796938378405
Cake Cases & Baking Accessories,Random Forest,21,22.945916055725014,-0.03547732412501814
Cake Cases & Baking Accessories,XGBoost,21,26.06518710157797,-0.19602103486355915
Cake Cases & Baking Accessories,7-Day Rolling Sum Baseline,22,38.29468824848808,-0.4423904010267441
Cake Cases & Baking Accessories,Linear Regression,22,42.43963353701569,-0.6338009506347695
Cake Cases & Baking Accessories,Random Forest,22,29.706210390146857,0.1464946593471047
Cake Cases & Baking Accessories,XGBoost,22,30.915768686214324,0.07050647652619435
Cake Cases & Baking Accessories,7-Day Rolling Sum Baseline,23,48.299031693868045,-0.4535527555885075
Cake Cases & Baking Accessories,Linear Regression,23,40.61460665040124,0.12076491408213375
Cake Cases & Baking Accessories,Random Forest,23,33.9926212662565,0.2563215055350839
Cake Cases & Baking Accessories,XGBoost,23,42.30876035636976,0.0178779515683537
Cake Cases & Baking Accessories,7-Day Rolling Sum Baseline,24,58.02890036977787,-1.9578848095048
Cake Cases & Baking Accessories,Linear Regression,24,33.539046000216764,-0.1924531924559425
Cake Cases & Baking Accessories,Random Forest,24,30.797644960793065,0.047569133149172105
Cake Cases & Baking Accessories,XGBoost,24,33.7021647661656,-0.12488206944590763
Cake Cases & Baking Accessories,7-Day Rolling Sum Baseline,25,56.326190046648286,-0.4741870778798116
Cake Cases & Baking Accessories,Linear Regression,25,36.59963321409697,0.32011369129370393
Cake Cases & Baking Accessories,Random Forest,25,38.54514703229298,0.3443620035785383
Cake Cases & Baking Accessories,XGBoost,25,36.35007333719854,0.3906024693323402
Cake Cases & Baking Accessories,7-Day Rolling Sum Baseline,26,49.94762196599347,-1.486789698644687
Cake Cases & Baking Accessories,Linear Regression,26,37.581782555191296,-0.649203030880322
Cake Cases & Baking Accessories,Random Forest,26,33.49745592406254,-0.36478267198208325
Cake Cases & Baking Accessories,XGBoost,26,34.17723149674129,-0.43923848259067566
Cake Cases & Baking Accessories,7-Day Rolling Sum Baseline,27,52.87438979751157,-1.0958892148561423
Cake Cases & Baking Accessories,Linear Regression,27,36.20891284000611,0.04045328248121682
Cake Cases & Baking Accessories,Random Forest,27,30.742461347093865,0.2554096207643237
Cake Cases & Baking Accessories,XGBoost,27,29.72667959234566,0.24570847310226163
Cake Cases & Baking Accessories,7-Day Rolling Sum Baseline,28,61.343424515397075,-2.332647683197644
Cake Cases & Baking Accessories,Linear Regression,28,38.89327131618446,-0.478514167544531
Cake Cases & Baking Accessories,Random Forest,28,35.182696830109826,-0.19054281038526177
Cake Cases & Baking Accessories,XGBoost,28,34.47973695660564,-0.19429483728598473
Cake Cases & Baking Accessories,7-Day Rolling Sum Baseline,29,46.644483519206084,-0.4095270485011535
Cake Cases & Baking Accessories,Linear Regression,29,34.9465866983494,0.13022743535752912
Cake Cases & Baking Accessories,Random Forest,29,34.25358985034978,0.072971487673551
Cake Cases & Baking Accessories,XGBoost,29,30.609720332495588,0.12397087152031838
Jumbo Bags & Shoppers,7-Day Rolling Sum Baseline,0,39.171751186576195,0.09148109701138152
Jumbo Bags & Shoppers,Linear Regression,0,26.229266737097788,0.6016537097095782
Jumbo Bags & Shoppers,Random Forest,0,26.794885780396164,0.6271450052461623
Jumbo Bags & Shoppers,XGBoost,0,27.543650005044647,0.6312780771787114
