Split,Category,Train WAPE (%),Val WAPE (%),Test WAPE (%),Test R2
Chronological,Wooden Letters & Number Tiles,4.76,19.0,33.67,-0.28
Block-Shuffled,"Bag Charms, Key Rings & Phone Charms",15.81,28.14,48.89,-1.498
Block-Shuffled,"Bags, Purses & Backpacks",3.93,27.3,19.86,0.319
Block-Shuffled,"Baskets, Hampers & Wicker",5.91,47.64,42.46,0.462
Block-Shuffled,Cake Cases & Baking Accessories,6.27,16.66,24.18,-0.69
Block-Shuffled,Cake Stands,4.66,56.91,28.79,-0.668
Block-Shuffled,"Candles, Incense & Matches",4.82,30.14,21.71,0.513
Block-Shuffled,Children's Toys & Playsets,4.92,33.69,23.81,0.549
Block-Shuffled,Christmas Decorations,3.5,26.14,17.96,0.962
Block-Shuffled,Clocks & Timepieces,7.34,24.73,27.46,0.604
Block-Shuffled,"Clothing, Accessories & Beauty",8.16,33.96,40.09,0.12
Block-Shuffled,"Coat Racks, Hooks & Hangers",5.15,27.44,32.07,-0.31
Block-Shuffled,Colouring & Art Supplies,4.67,26.86,25.96,0.378
Block-Shuffled,"Cushions, Quilts & Home Textiles",5.52,36.35,41.24,-0.317
Block-Shuffled,Cutlery & Chopping Boards,6.88,41.96,26.31,0.304
Block-Shuffled,Decorative Hanging Ornaments & Figurines,4.29,20.34,24.69,0.837
Block-Shuffled,Doormats & Doorstops,13.6,97.86,56.96,-3.56
Block-Shuffled,Easter Decorations,5.98,36.94,38.97,0.753
Block-Shuffled,Egg Cups & Holders,7.28,52.02,39.74,0.028
Block-Shuffled,Fairy Lights & Decorative Garlands,4.01,39.76,38.51,0.509
Block-Shuffled,"Furniture, Cabinets & Storage Furniture",3.54,18.83,22.2,0.434
Block-Shuffled,"Garden, Bird Feeding & Outdoor Décor",7.2,65.58,33.88,0.184
Block-Shuffled,"Gift Wrap, Tape & Ribbons",4.58,17.51,20.01,0.754
Block-Shuffled,"Glass Jars, Bottles & Vases",5.65,28.05,32.41,0.343
Block-Shuffled,Hair Accessories,15.12,135.89,51.53,-0.14
Block-Shuffled,Hand Warmers & Umbrellas,5.36,49.23,25.61,0.807
Block-Shuffled,Hot Water Bottles,5.59,46.4,55.16,0.661
Block-Shuffled,"Jewellery - Bracelets, Rings & Brooches",6.52,19.35,22.55,0.593
Block-Shuffled,Jewellery - Earrings,12.4,81.28,79.58,0.24
Block-Shuffled,Jewellery - Necklaces,14.3,45.23,56.23,0.251
Block-Shuffled,"Jigsaw Puzzles, Card Games & Board Games",7.0,22.96,39.4,0.448
Block-Shuffled,Jumbo Bags & Shoppers,5.97,24.95,37.75,0.453
Block-Shuffled,Kitchen Storage & Containers,5.53,36.92,29.13,-0.25
Block-Shuffled,Kitchen Utensils & Tools,4.16,31.43,26.74,0.514
Block-Shuffled,Lamps & Lampshades,11.47,45.19,45.57,0.505
Block-Shuffled,Lanterns,6.66,33.63,46.94,-0.431
Block-Shuffled,Lunch Boxes & Snack Bags,5.38,27.58,27.06,0.463
Block-Shuffled,Memo Boards & Blackboards,8.83,40.96,36.78,-0.122
Block-Shuffled,Metal Signs & Plaques,5.96,46.6,33.21,-1.046
Block-Shuffled,Mirrors,9.83,37.22,33.95,0.386
Block-Shuffled,"Mugs, Cups & Glasses",5.79,18.51,28.67,0.15
Block-Shuffled,"Paper Napkins, Doilies & Bunting",4.3,25.5,21.38,0.1
Block-Shuffled,Party & Event Accessories,8.15,50.08,46.86,-0.193
Block-Shuffled,Picture Frames & Photo Accessories,8.01,32.09,33.46,0.537
Block-Shuffled,"Plates, Bowls, Trays & Serveware",4.73,28.56,31.48,-1.599
Block-Shuffled,Sewing & Craft Kits,5.57,25.07,26.36,-0.155
Block-Shuffled,"Stationery, Notebooks & Greeting Cards",4.27,26.05,20.84,0.647
Block-Shuffled,"Stickers, Patches & Badges",10.11,63.65,70.54,-3.301
Block-Shuffled,Tea & Coffee Sets,7.52,48.44,77.71,-3.514
Block-Shuffled,Tealight Holders & Sets,3.88,31.59,17.98,0.668
Block-Shuffled,Travel & Office Accessories,6.05,46.8,46.97,0.116
Block-Shuffled,Trinket Boxes & Keepsakes,4.86,35.82,35.4,-1.927
Block-Shuffled,Unclassified,7.65,65.26,42.26,0.049
Block-Shuffled,Wall Art & Prints,20.9,71.04,45.94,0.687
Block-Shuffled,Wooden Letters & Number Tiles,5.79,29.18,20.08,-0.381
TimeSeriesCV (gap=35),"Bag Charms, Key Rings & Phone Charms",10.18,,81.41,-5.713
TimeSeriesCV (gap=35),"Bags, Purses & Backpacks",4.28,,29.01,-2.102
TimeSeriesCV (gap=35),"Baskets, Hampers & Wicker",5.23,,58.04,-1.691
TimeSeriesCV (gap=35),Cake Cases & Baking Accessories,5.17,,29.97,-0.572
TimeSeriesCV (gap=35),Cake Stands,4.75,,38.89,-0.898
TimeSeriesCV (gap=35),"Candles, Incense & Matches",4.41,,37.01,-2.484
TimeSeriesCV (gap=35),Children's Toys & Playsets,4.32,,38.45,-1.49
TimeSeriesCV (gap=35),Christmas Decorations,6.57,,68.43,-5.252
TimeSeriesCV (gap=35),Clocks & Timepieces,6.23,,45.53,-0.871
TimeSeriesCV (gap=35),"Clothing, Accessories & Beauty",8.88,,54.44,-1.608
TimeSeriesCV (gap=35),"Coat Racks, Hooks & Hangers",5.08,,29.37,-0.521
TimeSeriesCV (gap=35),Colouring & Art Supplies,4.62,,37.23,-1.676
TimeSeriesCV (gap=35),"Cushions, Quilts & Home Textiles",7.73,,53.79,-2.651
TimeSeriesCV (gap=35),Cutlery & Chopping Boards,5.62,,37.01,-0.565
TimeSeriesCV (gap=35),Decorative Hanging Ornaments & Figurines,4.19,,47.44,-3.593
TimeSeriesCV (gap=35),Doormats & Doorstops,7.36,,81.96,-2.675
TimeSeriesCV (gap=35),Easter Decorations,3.63,,545.68,-71.339
TimeSeriesCV (gap=35),Egg Cups & Holders,6.18,,184.67,-48.505
TimeSeriesCV (gap=35),Fairy Lights & Decorative Garlands,4.38,,55.39,-2.523
