Category,val_7-Day Rolling Sum Baseline,test_7-Day Rolling Sum Baseline,val_Linear Regression,test_Linear Regression,val_Random Forest,test_Random Forest,val_XGBoost,test_XGBoost
Jewellery - Earrings,103.73961218836565,122.73534635879217,104.89632104704292,91.00626622932371,65.04178208679593,107.00133214920069,62.002197551925434,111.76334744448349
Jewellery - Necklaces,92.12389380530973,50.10224948875256,137.61882648897404,58.41967379557262,68.3858407079646,35.435582822085884,80.14495731455035,46.8145509439012
"Jigsaw Puzzles, Card Games & Board Games",34.164830268656,50.00570310512139,26.134694847726408,68.97580850173868,36.24744710571631,29.73069937616804,35.76762054231317,28.984389973221454
Jumbo Bags & Shoppers,33.96122481211407,68.13874413108341,35.181778257405746,56.17765322040202,37.97812587875916,36.37257037040392,40.057955963076104,38.07092652195666
Kitchen Storage & Containers,63.45965203680635,27.882219176375305,38.65321058115277,25.132800942659667,40.224208176111986,22.45124914335555,44.00612748935371,23.53056026584938
Kitchen Utensils & Tools,42.048082988715215,21.421444920476553,33.348578611998505,17.728831358150163,28.770145557346794,24.050252362227827,28.740831621422764,26.423880004345502
Lamps & Lampshades,61.95079086115993,41.427546628407455,60.414700946290765,109.40886366960092,44.017245166959576,40.89078192252511,50.5815306531105,50.19662133932455
Lanterns,91.94536033914272,59.10127189824814,75.90097982543331,88.73389987080027,45.720014559157285,47.57616390688745,52.50324077260717,44.51370751912113
Lunch Boxes & Snack Bags,45.662988012923094,42.72936365959622,31.573084387298373,23.542442581929294,42.81628370421812,14.914908181519476,53.401802975456405,19.03004120041283
Memo Boards & Blackboards,95.2104002736914,45.19828304183484,48.13465140266247,46.84468954917887,43.0126582278481,46.09196617336152,53.64114664311831,51.73954379284387
Metal Signs & Plaques,27.443040955564424,50.72137221024883,46.05592129273535,37.172478242090634,44.57339752605104,61.97433785155763,47.52739620239308,58.75305183391212
Mirrors,69.07003740487554,54.53566398807058,46.897646642550434,37.00418789314733,43.23103959757514,51.46222351089388,41.857319328379944,70.89888296410949
"Mugs, Cups & Glasses",44.08804024795926,46.907508668978394,42.166832778005414,37.172922802442415,25.617010645983207,21.621104516760028,23.62353171962802,22.719036654132076
"Paper Napkins, Doilies & Bunting",39.16854696627824,32.85218762317698,22.91360167101817,32.6365039807549,23.126053225357772,26.119546708711074,24.73260047730311,27.03867795686342
Party & Event Accessories,64.96146691469572,43.68148648214228,66.74904766681254,56.31099615484422,58.95870316237044,43.91866782396245,57.671102239450114,52.40117419891549
Picture Frames & Photo Accessories,48.27967479674797,43.86931585415813,48.366146688408676,48.03299387672466,39.50544715447154,45.73967636214667,39.39576416015625,45.351741904852965
"Plates, Bowls, Trays & Serveware",27.271914808780362,88.2735269287679,38.57963435788579,90.24623821947321,35.33750283581166,54.421115458283786,28.63529009238838,54.97800066050343
Sewing & Craft Kits,74.61514642130408,24.685277923802673,64.40854031782243,43.986118644143474,67.76354728833054,29.107102343469,56.811699406990776,30.423241547140005
"Stationery, Notebooks & Greeting Cards",44.99630009300684,33.57913794845096,33.42666629142786,25.07881670730473,24.16941500736587,23.648166566946145,24.10752240787995,25.728590252243954
"Stickers, Patches & Badges",82.7120908483634,41.46575891069283,72.25790665120226,51.60354062529684,67.03731462925852,46.376331597917485,72.03422645257965,54.48500975829198
Tea & Coffee Sets,52.53632343651296,62.737472620803715,49.65446531086329,35.23901056498826,41.97956411876184,36.0680568593268,41.54763641646596,42.334420632721354
Tealight Holders & Sets,15.81338881753842,42.482452377473045,15.389269428190843,31.023849584297476,15.596399252056258,22.657263937926906,17.031960171129704,24.904316904619712
