Category,Model,Train WAPE (%),Train R2,Validation WAPE (%),Validation R2,Test WAPE (%),Test R2,Test MAE,Test RMSE,Test Bias,X,Y,split_strategy,selected_on_validation
Egg Cups & Holders,7-Day Rolling Sum Baseline,55.406,-0.263,53.103,-3.897,54.507,-1.729,102.569,129.858,9.0,7,7,purged_chronological,False
Egg Cups & Holders,Linear Regression,36.17,0.562,47.15,-2.357,70.94,-3.146,133.492,160.057,45.656,7,7,purged_chronological,True
Egg Cups & Holders,Random Forest,6.591,0.978,89.312,-8.937,50.962,-0.959,95.899,110.012,33.628,7,7,purged_chronological,False
Egg Cups & Holders,XGBoost,0.27,1.0,105.085,-11.754,63.319,-1.957,119.152,135.162,-0.218,7,7,purged_chronological,False
Fairy Lights & Decorative Garlands,7-Day Rolling Sum Baseline,41.965,-0.789,34.742,-0.913,29.274,-0.566,1180.275,1389.19,-543.725,7,7,purged_chronological,False
Fairy Lights & Decorative Garlands,Linear Regression,17.917,0.656,30.268,-0.638,27.965,-0.529,1127.491,1372.614,69.078,7,7,purged_chronological,True
Fairy Lights & Decorative Garlands,Random Forest,4.649,0.976,38.673,-1.598,55.804,-4.081,2249.937,2501.964,-2249.937,7,7,purged_chronological,False
Fairy Lights & Decorative Garlands,XGBoost,0.4,1.0,41.175,-1.901,58.58,-4.495,2361.884,2601.935,-2361.884,7,7,purged_chronological,False
"Furniture, Cabinets & Storage Furniture",7-Day Rolling Sum Baseline,37.389,-1.611,32.672,-2.763,19.847,-1.587,438.353,578.695,-27.725,7,7,purged_chronological,False
"Furniture, Cabinets & Storage Furniture",Linear Regression,17.572,0.375,29.131,-1.754,12.392,-0.076,273.7,373.268,-167.997,7,7,purged_chronological,True
"Furniture, Cabinets & Storage Furniture",Random Forest,4.374,0.955,32.112,-2.104,17.705,-0.672,391.041,465.264,-287.853,7,7,purged_chronological,False
"Furniture, Cabinets & Storage Furniture",XGBoost,0.268,1.0,33.319,-2.304,22.641,-1.787,500.057,600.606,-442.216,7,7,purged_chronological,False
"Garden, Bird Feeding & Outdoor Décor",7-Day Rolling Sum Baseline,57.571,-0.72,49.164,-1.096,39.183,-0.449,231.471,326.298,-113.353,7,7,purged_chronological,True
"Garden, Bird Feeding & Outdoor Décor",Linear Regression,30.898,0.493,59.355,-2.325,54.208,-1.29,320.23,410.248,-290.418,7,7,purged_chronological,False
"Garden, Bird Feeding & Outdoor Décor",Random Forest,6.796,0.969,71.709,-3.584,38.975,-0.261,230.241,304.462,66.685,7,7,purged_chronological,False
"Garden, Bird Feeding & Outdoor Décor",XGBoost,0.389,1.0,68.866,-3.399,39.63,-0.317,234.11,311.153,39.484,7,7,purged_chronological,False
"Gift Wrap, Tape & Ribbons",7-Day Rolling Sum Baseline,43.135,-1.856,37.076,-0.289,21.948,-3.611,1651.314,2242.006,799.039,7,7,purged_chronological,False
"Gift Wrap, Tape & Ribbons",Linear Regression,19.078,0.435,38.911,-0.8,38.311,-7.895,2882.448,3114.062,-2881.935,7,7,purged_chronological,False
"Gift Wrap, Tape & Ribbons",Random Forest,4.248,0.968,36.33,-0.45,46.088,-11.038,3467.596,3622.719,-3467.596,7,7,purged_chronological,False
"Gift Wrap, Tape & Ribbons",XGBoost,0.511,1.0,35.004,-0.362,46.738,-11.394,3516.539,3675.886,-3516.539,7,7,purged_chronological,True
"Glass Jars, Bottles & Vases",7-Day Rolling Sum Baseline,61.435,-0.891,46.395,-0.598,30.807,-2.573,200.686,225.569,15.392,7,7,purged_chronological,False
"Glass Jars, Bottles & Vases",Linear Regression,33.205,0.389,21.467,0.557,24.982,-1.602,162.738,192.496,38.638,7,7,purged_chronological,True
"Glass Jars, Bottles & Vases",Random Forest,7.537,0.96,48.107,-1.123,20.656,-0.822,134.558,161.085,-116.076,7,7,purged_chronological,False
"Glass Jars, Bottles & Vases",XGBoost,0.29,1.0,50.563,-1.372,24.172,-1.305,157.461,181.173,-145.864,7,7,purged_chronological,False
Hair Accessories,7-Day Rolling Sum Baseline,69.695,-0.963,85.539,-2.247,52.422,-0.077,50.078,118.543,-41.804,7,7,purged_chronological,False
Hair Accessories,Linear Regression,44.904,0.284,52.553,-0.318,78.756,-0.476,75.235,138.741,-75.235,7,7,purged_chronological,False
Hair Accessories,Random Forest,9.768,0.951,52.327,-0.305,71.923,-0.388,68.708,134.583,-68.708,7,7,purged_chronological,True
Hair Accessories,XGBoost,0.898,1.0,59.249,-0.626,70.545,-0.367,67.391,133.535,-67.391,7,7,purged_chronological,False
Hand Warmers & Umbrellas,7-Day Rolling Sum Baseline,49.6,-0.731,49.277,-0.904,34.394,-1.556,1172.882,1459.106,-259.824,7,7,purged_chronological,True
Hand Warmers & Umbrellas,Linear Regression,31.224,0.389,69.726,-2.554,78.527,-8.358,2677.882,2791.766,-2677.882,7,7,purged_chronological,False
Hand Warmers & Umbrellas,Random Forest,6.129,0.969,52.936,-1.314,60.077,-5.022,2048.705,2239.531,-2048.705,7,7,purged_chronological,False
Hand Warmers & Umbrellas,XGBoost,0.24,1.0,50.539,-1.144,58.199,-4.76,1984.675,2190.288,-1984.675,7,7,purged_chronological,False
Hot Water Bottles,7-Day Rolling Sum Baseline,61.982,-0.265,50.577,-1.214,31.198,-0.635,980.49,1239.473,-457.902,7,7,purged_chronological,True
Hot Water Bottles,Linear Regression,30.832,0.815,66.445,-2.78,72.298,-5.351,2272.194,2443.186,-2272.194,7,7,purged_chronological,False
